INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
24347270,09/16/2006,02:55:00,QUEENS,OUTSIDE,114,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,999667,215032,40.75687618,-73.94435185
285137847,04/10/2024,15:01:00,MANHATTAN,OUTSIDE,25,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1003681,229667,40.79703748,-73.92982087
221837318,12/14/2020,19:14:00,MANHATTAN,OUTSIDE,30,0.0,STREET,,999139,240636,40.82715314,-73.94620092
266051446,04/01/2023,22:20:00,BROOKLYN,OUTSIDE,88,0.0,STREET,,991561,193249,40.6971,-73.973631
142784673,05/09/2015,00:43:00,BRONX,OUTSIDE,43,0.0,STREET,,1020948,237937,40.819692,-73.867412
45768383,04/18/2008,12:58:00,BROOKLYN,OUTSIDE,75,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1012850,182781,40.668332,-73.896903
238861986,01/09/2022,00:47:00,MANHATTAN,INSIDE,25,0.0,COMMERCIAL,FAST FOOD,1000635,230119,40.798285,-73.94082
46751477,05/27/2008,01:40:00,MANHATTAN,OUTSIDE,32,0.0,STREET,,1000913,238269,40.820662,-73.939795
238036437,12/18/2021,12:43:00,BROOKLYN,OUTSIDE,69,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1012786,176018,40.64976,-73.89716
16631447,05/20/2006,15:30:00,BROOKLYN,OUTSIDE,83,0.0,STREET,,1008298,191575,40.692483,-73.91328
24626219,10/03/2006,12:20:00,BROOKLYN,OUTSIDE,67,0.0,STREET,,1004796,180307,40.661562,-73.925945
154080701,06/16/2016,14:05:00,QUEENS,INSIDE,100,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1037496,154255,40.589919,-73.808287
142091383,04/12/2015,18:09:00,BROOKLYN,OUTSIDE,69,0.0,STREET,,1006990,171150,40.636415,-73.918065
251568722,09/25/2022,05:04:00,MANHATTAN,OUTSIDE,34,0.0,STREET,,1003132,249705,40.852038,-73.931745
294432742,10/06/2024,03:05:00,QUEENS,INSIDE,102,0.0,DWELLING,,1034048,190856,40.690402,-73.820432
91500046,07/07/2013,02:15:00,BROOKLYN,OUTSIDE,79,0.0,STREET,,1001281,189109,40.685722,-73.938589
296516805,11/14/2024,12:24:00,BROOKLYN,OUTSIDE,60,0.0,STREET,,984503,148779,40.575051,-73.999087
23354093,07/04/2006,03:18:00,BROOKLYN,OUTSIDE,76,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,982515,185439,40.675665,-74.006254
265006009,03/12/2023,20:20:00,BROOKLYN,OUTSIDE,61,0.0,STREET,GROCERY/BODEGA,999980,157975,40.600268,-73.943353
80592950,09/02/2011,23:46:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1021396,183855,40.671239,-73.866092
94179658,12/25/2013,04:15:00,STATEN ISLAND,OUTSIDE,122,0.0,STREET,,962111,150335,40.579285,-74.079697
148712779,12/20/2015,20:49:00,BROOKLYN,OUTSIDE,73,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1010787,183142,40.669329,-73.904339
241326154,02/27/2022,04:15:00,BRONX,OUTSIDE,40,0.0,STREET,,1004742,235014,40.811712,-73.92597
60025217,03/28/2009,23:28:00,BRONX,OUTSIDE,41,0.0,STREET,,1013070,238702,40.821812,-73.895871
157721051,10/18/2016,21:42:00,BROOKLYN,OUTSIDE,67,0.0,STREET,,997960,174937,40.646829,-73.950593
173354054,01/06/2018,21:05:00,BRONX,INSIDE,47,0.0,DWELLING,MULTI DWELL - APT BUILD,1024405,267089,40.899682,-73.854746
166998585,07/12/2017,21:30:00,BROOKLYN,OUTSIDE,81,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1002397,189962,40.688061,-73.934564
75538351,11/13/2010,01:30:00,BRONX,OUTSIDE,43,0.0,STREET,,1024071,245478,40.840366,-73.856081
164101713,04/24/2017,05:25:00,BRONX,INSIDE,46,0.0,COMMERCIAL,BAR/NIGHT CLUB,1006968,248504,40.848733,-73.917882
316699043,11/26/2025,19:15:00,BROOKLYN,OUTSIDE,84,0.0,STREET,FAST FOOD,987639,191256,40.69164,-73.98778
303806896,03/28/2025,05:30:00,BRONX,OUTSIDE,43,0.0,DWELLING,MULTI DWELL - APT BUILD,1024906,238243,40.820514,-73.85311
167108508,07/14/2017,01:21:00,QUEENS,OUTSIDE,101,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1052667,161622,40.610028,-73.753587
214874081,07/02/2020,23:03:00,MANHATTAN,OUTSIDE,23,0.0,STREET,,1001105,227431,40.79090555,-73.93913024
28460613,04/15/2007,18:16:00,QUEENS,INSIDE,115,0.0,DWELLING,MULTI DWELL - APT BUILD,1018623,214936,,
298756515,01/01/2025,13:00:00,BRONX,INSIDE,52,0.0,DWELLING,MULTI DWELL - APT BUILD,1013194,254357,40.864789,-73.895355
148326184,12/04/2015,19:40:00,BROOKLYN,OUTSIDE,76,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,987086,188344,40.683637,-73.989774
28575965,04/21/2007,00:01:00,BROOKLYN,INSIDE,81,0.0,DWELLING,PVT HOUSE,1004525,189603,40.687079,-73.926895
90517989,05/08/2013,01:10:00,BROOKLYN,OUTSIDE,70,0.0,STREET,,993516,172533,40.640244,-73.96661
147610780,11/08/2015,00:21:00,QUEENS,OUTSIDE,109,0.0,STREET,,1032023,219407,40.76876878,-73.82753095
94128332,12/21/2013,01:10:00,QUEENS,OUTSIDE,113,0.0,STREET,,1048761,188885,40.68489,-73.767396
15400552,05/12/2006,21:09:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1014906,179735,40.659956,-73.889505
29301875,05/28/2007,19:15:00,BROOKLYN,INSIDE,71,0.0,DWELLING,MULTI DWELL - APT BUILD,1002927,182322,40.667091,-73.932674
264689065,03/07/2023,20:07:00,BRONX,OUTSIDE,49,0.0,STREET,,1021301,252477,40.859588,-73.866056
33445722,07/27/2007,11:23:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1018245,180175,40.661159,-73.87747
217218949,08/30/2020,04:11:00,BROOKLYN,OUTSIDE,79,0.0,STREET,,995841,189513,40.686839,-73.958205
212400208,04/25/2020,20:45:00,BRONX,OUTSIDE,47,0.0,STREET,,1025626,266935,40.899253,-73.850329
93053312,10/12/2013,06:54:00,BROOKLYN,OUTSIDE,90,0.0,STREET,,995786,198041,40.71024598,-73.95838957
55670674,01/13/2009,18:54:00,BRONX,OUTSIDE,40,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1009894,236851,40.816748,-73.907354
280507340,01/14/2024,15:30:00,BRONX,OUTSIDE,41,0.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1014854,240518,40.826798,-73.889416
146910066,10/14/2015,01:47:00,BROOKLYN,OUTSIDE,70,0.0,STREET,PVT HOUSE,994949,174604,40.645927,-73.961444
52722195,11/02/2008,02:10:00,QUEENS,OUTSIDE,100,0.0,STREET,,1035329,152802,,
216745748,08/19/2020,00:55:00,BROOKLYN,OUTSIDE,71,0.0,STREET,,1002419,180820,40.662969,-73.93451
81666317,11/11/2011,19:30:00,BROOKLYN,OUTSIDE,83,0.0,STREET,,1007103,189970,40.688073,-73.917596
136941162,05/27/2014,04:53:00,BROOKLYN,OUTSIDE,63,0.0,STREET,,1004211,163899,40.616521,-73.928101
91476196,07/05/2013,02:20:00,QUEENS,OUTSIDE,113,0.0,STREET,,1045185,188244,40.68315327,-73.78029613
214693792,06/27/2020,02:50:00,BROOKLYN,OUTSIDE,69,0.0,STREET,,1012273,178202,40.655756,-73.899003
150165506,02/05/2016,20:15:00,MANHATTAN,INSIDE,23,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,999452,228508,40.793874,-73.945096
201858654,09/02/2019,04:17:00,QUEENS,OUTSIDE,102,0.0,STREET,,1034150,193486,40.69761041,-73.82004436
76601649,12/25/2010,22:29:00,QUEENS,OUTSIDE,113,0.0,STREET,,1041737,186076,40.677226,-73.792745
141112709,02/24/2015,00:55:00,BRONX,OUTSIDE,43,0.0,STREET,,1021989,245392,40.840139,-73.863609
56020061,01/24/2009,04:00:00,BROOKLYN,OUTSIDE,67,0.0,STREET,,1004363,178586,40.65684,-73.927511
78148020,04/08/2011,23:52:00,BROOKLYN,OUTSIDE,77,0.0,STREET,,1002032,186043,40.677305,-73.93589
11118218,04/23/2006,20:09:00,BRONX,OUTSIDE,49,0.0,STREET,,1020426,255273,40.867276,-73.869204
207815722,01/12/2020,12:05:00,BRONX,INSIDE,41,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1014999,237381,40.818188,-73.888909
48395049,07/17/2008,12:30:00,BRONX,OUTSIDE,46,0.0,STREET,,1011724,252316,40.859191,-73.900678
216360324,08/08/2020,04:09:00,BROOKLYN,OUTSIDE,77,0.0,STREET,,1004975,183972,40.671615,-73.925287
79746938,07/11/2011,01:17:00,QUEENS,OUTSIDE,103,0.0,STREET,,1039781,191945,40.6933472,-73.79974992
11118232,04/26/2006,18:26:00,QUEENS,INSIDE,105,0.0,DWELLING,PVT HOUSE,1055658,201767,40.720202,-73.74239
94290322,01/02/2014,15:50:00,BROOKLYN,OUTSIDE,73,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1009850,181614,40.665129,-73.907722
81436544,10/28/2011,11:43:00,MANHATTAN,OUTSIDE,30,0.0,STREET,MULTI DWELL - APT BUILD,998995,241308,40.828999,-73.946717
293476197,09/17/2024,17:00:00,STATEN ISLAND,OUTSIDE,120,0.0,STREET,,961045,162903,40.61377708,-74.08357963
231352384,07/25/2021,02:30:00,BRONX,OUTSIDE,42,0.0,VEHICLE,,1009985,239866,40.825017,-73.907011
29059029,05/16/2007,00:03:00,BROOKLYN,OUTSIDE,70,0.0,STREET,,996715,170413,40.634422,-73.955089
139487360,11/03/2014,21:32:00,MANHATTAN,OUTSIDE,30,0.0,STREET,,999990,240313,40.826276,-73.943128
220063007,11/03/2020,00:07:00,BRONX,OUTSIDE,48,0.0,STREET,PVT HOUSE,1014977,246299,40.842658,-73.888947
252582872,10/14/2022,15:47:00,QUEENS,OUTSIDE,101,1.0,TRANSIT,,1052559,159711,40.60478281,-73.75399789
109506088,04/09/2014,19:37:00,BRONX,OUTSIDE,42,2.0,HOUSING,MULTI DWELL - PUBLIC HOUS,1010466,238572,40.821472,-73.905279
239757707,01/26/2022,11:52:00,BRONX,OUTSIDE,46,0.0,STREET,,1011755,252026,40.858387,-73.900566
235423767,10/23/2021,23:54:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1011660,185436,40.675614,-73.901183
86562045,09/03/2012,05:42:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1020850,181140,40.66378849,-73.86807546
221940310,12/16/2020,22:27:00,BROOKLYN,OUTSIDE,75,0.0,STREET,,1015443,180368,40.66169022,-73.88756851
41585157,03/04/2008,12:40:00,BROOKLYN,INSIDE,77,0.0,DWELLING,MULTI DWELL - APT BUILD,1002275,184001,40.671709,-73.935022
179645495,05/02/2018,23:44:00,BROOKLYN,OUTSIDE,90,0.0,STREET,,1001586,195420,40.703044,-73.937475
91499737,07/05/2013,21:50:00,BROOKLYN,OUTSIDE,79,0.0,STREET,PVT HOUSE,1000950,188650,40.684463,-73.939786
34578687,09/23/2007,22:10:00,QUEENS,OUTSIDE,115,0.0,STREET,PVT HOUSE,1015581,217629,40.763971,-73.886898
217495445,09/04/2020,17:00:00,BRONX,OUTSIDE,47,0.0,STREET,,1023152,263533,40.88992533,-73.8593009
80928178,09/27/2011,20:44:00,BRONX,OUTSIDE,46,0.0,STREET,COMMERCIAL BLDG,1006748,247570,40.846177,-73.918682
35092372,10/16/2007,02:30:00,BROOKLYN,OUTSIDE,60,0.0,STREET,,987596,149229,40.57627446,-73.98795516
84701795,05/13/2012,01:10:00,BRONX,OUTSIDE,47,0.0,STREET,,1024923,259385,40.878533,-73.852918
